program,impl,N,workers,unit,run_idx,time_s
fft_serial,C/serial,1048576,1,threads,1,0.062
fft_serial,C/serial,1048576,1,threads,2,0.046
fft_serial,C/serial,1048576,1,threads,3,0.048
fft_pthreads,C/pthreads,1048576,1,threads,1,0.051
fft_pthreads,C/pthreads,1048576,1,threads,2,0.050
fft_pthreads,C/pthreads,1048576,1,threads,3,0.049
fft_pthreads,C/pthreads,1048576,2,threads,1,0.041
fft_pthreads,C/pthreads,1048576,2,threads,2,0.041
fft_pthreads,C/pthreads,1048576,2,threads,3,0.044
fft_pthreads,C/pthreads,1048576,4,threads,1,0.040
fft_pthreads,C/pthreads,1048576,4,threads,2,0.039
fft_pthreads,C/pthreads,1048576,4,threads,3,0.040
fft_pthreads,C/pthreads,1048576,8,threads,1,0.047
fft_pthreads,C/pthreads,1048576,8,threads,2,0.040
fft_pthreads,C/pthreads,1048576,8,threads,3,0.039
fft_pthreads,C/pthreads,1048576,16,threads,1,0.042
fft_pthreads,C/pthreads,1048576,16,threads,2,0.044
fft_pthreads,C/pthreads,1048576,16,threads,3,0.065
fft_openmp,C/OpenMP,1048576,1,threads,1,0.050
fft_openmp,C/OpenMP,1048576,1,threads,2,0.051
fft_openmp,C/OpenMP,1048576,1,threads,3,0.055
fft_openmp,C/OpenMP,1048576,2,threads,1,0.037
fft_openmp,C/OpenMP,1048576,2,threads,2,0.037
fft_openmp,C/OpenMP,1048576,2,threads,3,0.039
fft_openmp,C/OpenMP,1048576,4,threads,1,0.032
fft_openmp,C/OpenMP,1048576,4,threads,2,0.031
fft_openmp,C/OpenMP,1048576,4,threads,3,0.030
fft_openmp,C/OpenMP,1048576,8,threads,1,0.029
fft_openmp,C/OpenMP,1048576,8,threads,2,0.029
fft_openmp,C/OpenMP,1048576,8,threads,3,0.030
fft_openmp,C/OpenMP,1048576,16,threads,1,0.030
fft_openmp,C/OpenMP,1048576,16,threads,2,0.028
fft_openmp,C/OpenMP,1048576,16,threads,3,0.029
fft_mpi,C/MPI,1048576,1,processes,1,0.189
fft_mpi,C/MPI,1048576,1,processes,2,0.171
fft_mpi,C/MPI,1048576,1,processes,3,0.172
fft_mpi,C/MPI,1048576,2,processes,1,0.178
fft_mpi,C/MPI,1048576,2,processes,2,0.204
fft_mpi,C/MPI,1048576,2,processes,3,0.173
fft_mpi,C/MPI,1048576,4,processes,1,0.186
fft_mpi,C/MPI,1048576,4,processes,2,0.181
fft_mpi,C/MPI,1048576,4,processes,3,0.183
fft_mpi,C/MPI,1048576,8,processes,1,0.248
fft_mpi,C/MPI,1048576,8,processes,2,0.238
fft_mpi,C/MPI,1048576,8,processes,3,0.252
